Leave,Equity
?AA,27.5
?AB,22.8
?AC,26.3
?AD,26.2
?AE,28.6
?AF,22.4
?AG,23.1
?AH,26.6
?AI,26.9
?AJ,22.6
?AK,25.2
?AL,25.2
?AM,26.0
?AN,27.1
?AO,25.0
?AP,25.1
?AQ,17.5
?AR,28.0
?AS,34.2
?AT,27.0
?AU,22.1
?AV,19.1
?AW,21.0
?AX,26.9
?AY,24.5
?AZ,32.8
?BB,18.1
?BC,21.6
?BD,21.5
?BE,23.9
?BF,17.7
?BG,18.4
?BH,21.9
?BI,22.2
?BJ,17.9
?BK,20.5
?BL,20.5
?BM,21.3
?BN,22.4
?BO,20.3
?BP,20.4
?BQ,12.8
?BR,23.3
?BS,29.5
?BT,22.3
?BU,17.4
?BV,14.4
?BW,16.3
?BX,22.2
?BY,19.8
?BZ,28.1
?CC,25.1
?CD,25.0
?CE,27.4
?CF,21.2
?CG,21.9
?CH,25.4
?CI,25.7
?CJ,21.4
?CK,24.0
?CL,24.0
?CM,24.8
?CN,25.9
?CO,23.8
?CP,23.9
?CQ,16.3
?CR,26.8
?CS,33.0
?CT,25.8
?CU,20.9
?CV,17.9
?CW,19.8
?CX,25.7
?CY,23.3
?CZ,31.6
?DD,24.9
?DE,27.3
?DF,21.1
?DG,21.8
?DH,25.3
?DI,25.6
?DJ,21.3
?DK,23.9
?DL,23.9
?DM,24.7
?DN,25.8
?DO,23.7
?DP,23.8
?DQ,16.2
?DR,26.7
?DS,32.9
?DT,25.7
?DU,20.8
?DV,17.8
?DW,19.7
?DX,25.6
?DY,23.2
?DZ,31.5
?EE,29.7
?EF,23.5
?EG,24.2
?EH,27.7
?EI,28.0
?EJ,23.7
?EK,26.3
?EL,26.3
?EM,27.1
?EN,28.2
?EO,26.1
?EP,26.2
?EQ,18.6
?ER,29.1
?ES,35.3
?ET,28.1
?EU,23.2
?EV,20.2
?EW,22.1
?EX,28.0
?EY,25.6
?EZ,33.9
?FF,17.3
?FG,18.0
?FH,21.5
?FI,21.8
?FJ,17.5
?FK,20.1
?FL,20.1
?FM,20.9
?FN,22.0
?FO,19.9
?FP,20.0
?FQ,12.4
?FR,22.9
?FS,29.1
?FT,21.9
?FU,17.0
?FV,14.0
?FW,15.9
?FX,21.8
?FY,19.4
?FZ,27.7
?GG,18.7
?GH,22.2
?GI,22.5
?GJ,18.2
?GK,20.8
?GL,20.8
?GM,21.6
?GN,22.7
?GO,20.6
?GP,20.7
?GQ,13.1
?GR,23.6
?GS,29.8
?GT,22.6
?GU,17.7
?GV,14.7
?GW,16.6
?GX,22.5
?GY,20.1
?GZ,28.4
?HH,25.7
?HI,26.0
?HJ,21.7
?HK,24.3
?HL,24.3
?HM,25.1
?HN,26.2
?HO,24.1
?HP,24.2
?HQ,16.6
?HR,27.1
?HS,33.3
?HT,26.1
?HU,21.2
?HV,18.2
?HW,20.1
?HX,26.0
?HY,23.6
?HZ,31.9
?II,26.3
?IJ,22.0
?IK,24.6
?IL,24.6
?IM,25.4
?IN,26.5
?IO,24.4
?IP,24.5
?IQ,16.9
?IR,27.4
?IS,33.6
?IT,26.4
?IU,21.5
?IV,18.5
?IW,20.4
?IX,26.3
?IY,23.9
?IZ,32.2
?JJ,17.7
?JK,20.3
?JL,20.3
?JM,21.1
?JN,22.2
?JO,20.1
?JP,20.2
?JQ,12.6
?JR,23.1
?JS,29.3
?JT,22.1
?JU,17.2
?JV,14.2
?JW,16.1
?JX,22.0
?JY,19.6
?JZ,27.9
?KK,22.9
?KL,22.9
?KM,23.7
?KN,24.8
?KO,22.7
?KP,22.8
?KQ,15.2
?KR,25.7
?KS,31.9
?KT,24.7
?KU,19.8
?KV,16.8
?KW,18.7
?KX,24.6
?KY,22.2
?KZ,30.5
?LL,22.9
?LM,23.7
?LN,24.8
?LO,22.7
?LP,22.8
?LQ,15.2
?LR,25.7
?LS,31.9
?LT,24.7
?LU,19.8
?LV,16.8
?LW,18.7
?LX,24.6
?LY,22.2
?LZ,30.5
?MM,24.5
?MN,25.6
?MO,23.5
?MP,23.6
?MQ,16.0
?MR,26.5
?MS,32.7
?MT,25.5
?MU,20.6
?MV,17.6
?MW,19.5
?MX,25.4
?MY,23.0
?MZ,31.3
?NN,26.7
?NO,24.6
?NP,24.7
?NQ,17.1
?NR,27.6
?NS,33.8
?NT,26.6
?NU,21.7
?NV,18.7
?NW,20.6
?NX,26.5
?NY,24.1
?NZ,32.4
?OO,22.5
?OP,22.6
?OQ,15.0
?OR,25.5
?OS,31.7
?OT,24.5
?OU,19.6
?OV,16.6
?OW,18.5
?OX,24.4
?OY,22.0
?OZ,30.3
?PP,22.7
?PQ,15.1
?PR,25.6
?PS,31.8
?PT,24.6
?PU,19.7
?PV,16.7
?PW,18.6
?PX,24.5
?PY,22.1
?PZ,30.4
?QQ,7.5
?QR,18.0
?QS,24.2
?QT,17.0
?QU,12.1
?QV,9.1
?QW,11.0
?QX,16.9
?QY,14.5
?QZ,22.8
?RR,28.5
?RS,34.7
?RT,27.5
?RU,22.6
?RV,19.6
?RW,21.5
?RX,27.4
?RY,25.0
?RZ,33.3
?SS,40.9
?ST,33.7
?SU,28.8
?SV,25.8
?SW,27.7
?SX,33.6
?SY,31.2
?SZ,39.5
?TT,26.5
?TU,21.6
?TV,18.6
?TW,20.5
?TX,26.4
?TY,24.0
?TZ,32.3
?UU,16.7
?UV,13.7
?UW,15.6
?UX,21.5
?UY,19.1
?UZ,27.4
?VV,10.7
?VW,12.6
?VX,18.5
?VY,16.1
?VZ,24.4
?WW,14.5
?WX,20.4
?WY,18.0
?WZ,26.3
?XX,26.3
?XY,23.9
?XZ,32.2
?YY,21.5
?YZ,29.8
?ZZ,38.1
